ID,日本語,Русский,Deutsch,English
1,,гордость,der Stolz,pride
2,,уважать,respektieren,respect
3,,яблоко,der Apfel,apple
4,,вода,das Wasser,water
5,,время,die Zeit,time
6,,книга,das Buch,book
7,,школа,die Schule,school
8,,друг / подруга,der Freund / die Freundin,friend
9,,язык,die Sprache,language
10,,дом,das Haus,house
11,,собака,der Hund,dog
12,,кошка,die Katze,cat
13,,солнце,die Sonne,sun
14,,луна,der Mond,moon
15,,день,der Tag,day
16,,ночь,die Nacht,night
17,,любовь,die Liebe,love
18,,надежда,die Hoffnung,hope
19,,мир,der Frieden,peace
20,,говорить,sprechen,speak
21,,слушать,hören,listen
22,,читать,lesen,read
23,,писать,schreiben,write
24,,учить,lernen,learn
25,,видеть,sehen,see
26,,идти,gehen,go
27,,приходить,kommen,come
28,,есть,essen,eat
29,,пить,trinken,drink
30,,семья,die Familie,family
31,,отец,der Vater,father
32,,мать,die Mutter,mother
33,,родители,die Eltern,parents
34,,сын,der Sohn,son
35,,дочь,die Tochter,daughter
36,,брат,der Bruder,brother
37,,сестра,die Schwester,sister
38,,дедушка,der Großvater,grandfather
39,,бабушка,die Großmutter,grandmother
40,,университет,die Universität,university
41,,студент / студентка,der Student / die Studentin,student
42,,учитель / учительница,der Lehrer / die Lehrerin,teacher
43,,урок,der Unterricht,class
44,,экзамен,die Prüfung,exam
45,,проблема,das Problem,problem
46,,ответ,die Antwort,answer
47,,слово,das Wort,word
48,,предложение,der Satz,sentence
49,,словарь,das Wörterbuch,dictionary
50,,человек,die Person,person
51,,друг / подруга,der Freund / die Freundin,friend
52,,знакомый,der Bekannte,acquaintance
53,,коллега,der Kollege / die Kollegin,colleague
54,,сосед / соседка,der Nachbar / die Nachbarin,neighbor
55,,клиент,der Kunde / die Kundin,customer
56,,преподаватель,der Dozent / die Dozentin,instructor
57,,ребёнок,das Kind,child
58,,взрослый,der Erwachsene,adult
59,,имя,der Name,name
60,,радость,die Freude,joy
61,,грусть,die Trauer,sadness
62,,гнев,der Ärger,anger
63,,страх,die Angst,fear
64,,счастье,das Glück,happiness
65,,надежда,die Hoffnung,hope
66,,любовь,die Liebe,love
67,,ненависть,der Hass,hatred
68,,смелость,der Mut,courage
69,,уважение,der Respekt,respect
70,,быть,sein,be
71,,иметь,haben,have
72,,идти,gehen,go
73,,приходить,kommen,come
74,,видеть,sehen,see
75,,слышать,hören,hear
76,,говорить,sprechen,speak
77,,читать,lesen,read
78,,писать,schreiben,write
79,,учить,lernen,learn
80,,хлеб,das Brot,bread
81,,молоко,die Milch,milk
82,,кофе,der Kaffee,coffee
83,,чай,der Tee,tea
84,,вода,das Wasser,water
85,,мясо,das Fleisch,meat
86,,рыба,der Fisch,fish
87,,фрукты,das Obst,fruit
88,,овощи,das Gemüse,vegetable
89,,яйцо,das Ei,egg
90,,лекция,die Vorlesung,lecture
91,,аудитория,das Klassenzimmer,classroom
92,,домашнее задание,die Hausaufgabe,homework
93,,тетрадь,das Heft,notebook
94,,ручка,der Stift,pen
95,,книга,das Buch,book
96,,библиотека,die Bibliothek,library
97,,вопрос,die Frage,question
98,,ответ,die Antwort,answer
99,,оценка,die Note,grade
